PDB	STRUC	k1	k2	f1	f2	R2
1ef9	dom1_dom2	2.147494380e-05	3.153184431e-02	4.976995823e-02	9.502300418e-01	0.903138315
3ofo	d1	1.006111663e-03	2.335848443e-02	2.654947904e-01	7.345052096e-01	0.990107844
1w78	d1	1.304663641e-21	3.179002934e-02	3.398648107e-01	6.601351893e-01	0.989570749
1gqe	dom1_dom2	3.007861272e-03	3.007546139e-03	8.048413861e-01	1.951586139e-01	0.939391854
3ofo	dom1_dom2	1.159092352e-03	2.366843484e-02	2.768067404e-01	7.231932596e-01	0.988711824
2fym	d2	7.833633452e-20	1.232803042e-03	3.458597320e-01	6.541402680e-01	0.984096497
1gqe	dom2_dom3	3.166165663e-03	1.140087621e-01	6.797517387e-01	3.202482613e-01	0.991847772
3qou	d2	1.521753650e-01	1.221722633e-01	1.310195967e-15	1.000000000e+00	0.999100029
3qou	dom2_dom3	2.651069815e-02	2.651021902e-02	1.849471887e-01	8.150528113e-01	0.924686160
1t4b	dom1_dom2	2.044368977e-31	3.332629684e-03	9.798745113e-01	2.012548868e-02	0.618799736
1eum	d1	1.091345652e-03	4.551290189e-02	3.232984181e-02	9.676701582e-01	0.915541149
1w8g	d1	3.258855715e-03	3.259449322e-03	7.946749111e-01	2.053250889e-01	0.728473622
2ww4	d1	7.572314217e-22	5.030349540e-03	1.367326245e-01	8.632673755e-01	0.654652445
3nxc	d2	1.002572692e-02	1.237402310e-01	8.392950306e-02	9.160704969e-01	0.973176569
2kfw	dom1_dom2	1.786999856e-01	1.595596875e-03	8.647637293e-01	1.352362707e-01	0.849014390
2qvr	d2	2.423765715e-03	2.423824713e-03	9.165314350e-01	8.346856500e-02	0.925134444
2kfw	d1	3.178865292e-06	6.661504643e-02	2.371112937e-01	7.628887063e-01	0.705676273
2r5n	d1	2.301971361e-06	3.210822561e-03	7.573847037e-01	2.426152963e-01	0.805419886
3brq	dom1_dom2	2.880591240e-03	2.609406416e-19	9.624770524e-01	3.752294758e-02	0.934170130
1zyl	d1	1.247249760e-05	2.223095766e-03	4.852852218e-01	5.147147782e-01	0.944787805
2h1f	d1	2.007836419e-04	1.233381119e-02	7.490049139e-02	9.250995086e-01	0.794200264
1uuf	d2	3.710798447e-04	3.584949692e-17	9.772738888e-01	2.272611116e-02	0.985221977
1gyt	d2	3.003500999e-10	1.017919196e-07	9.999997354e-01	2.645637646e-07	nan
2hna	d1	2.725245911e-06	4.113245998e-02	2.460200520e-01	7.539799480e-01	0.671881211
2r5n	dom2_dom3	2.553303806e-30	3.347186527e-03	7.989335929e-01	2.010664071e-01	0.766354488
2r5n	d3	2.274611780e-06	3.357491811e-03	7.980150165e-01	2.019849835e-01	0.742948692
3pco	d1	2.248384875e-29	3.865100702e-03	9.392747297e-01	6.072527033e-02	0.208850505
4iwx	d2	1.655610116e-01	1.313657732e-14	9.000017849e-01	9.999821515e-02	0.999078564
2ww4	dom1_dom2	4.006040788e-07	2.376369047e-02	1.404673054e-01	8.595326946e-01	0.881939259
3qou	d1	3.662636848e-02	3.662758220e-02	1.962266751e-01	8.037733249e-01	0.856634456
1xru	d2	2.960598568e-05	2.836499808e-03	5.121713509e-01	4.878286491e-01	0.950222981
4iwx	dom1_dom2	2.987305120e-03	9.208378346e-02	8.129914021e-02	9.187008598e-01	0.978911743
4iwx	dom2_dom3	2.977501216e-05	2.680413615e-03	9.941037091e-01	5.896290918e-03	0.982536682
4dzd	d1	6.211087990e-03	6.212271682e-03	6.149839553e-01	3.850160447e-01	0.717841667
1qtw	d1	2.421348543e-04	1.919722456e-03	2.084794134e-01	7.915205866e-01	0.982437190
4dzd	dom1_dom2	2.146288119e-05	3.730518735e-03	1.772605064e-01	8.227394936e-01	0.601412835
4hr7	d1	9.083561443e-07	2.902281852e-03	9.826077912e-01	1.739220883e-02	0.413162136
3brq	d2	2.992751882e-03	5.271026450e-19	9.626233920e-01	3.737660802e-02	0.942721166
4dcm	dom1_dom2	1.605196212e-01	1.605302400e-01	6.325513673e-02	9.367448633e-01	0.997837299
1gz0	d1	2.266731571e-01	5.113097528e-07	7.585686482e-01	2.414313518e-01	0.501702312
1ag9	d1	1.163178409e-03	1.163208433e-03	9.784429460e-01	2.155705397e-02	0.980829172
2kx9	d1	9.323394017e-06	1.205560867e-01	5.968028877e-01	4.031971123e-01	0.703556681
3m7m	d2	1.481187186e-01	7.281360766e-05	9.541456255e-01	4.585437449e-02	0.840478316
3m7m	dom1_dom2	1.383965719e-01	1.364683982e-14	9.600115700e-01	3.998842995e-02	0.987791280
4iwx	d1	2.656112438e-05	2.661810374e-05	9.998636825e-01	1.363175292e-04	0.976107964
1jx7	d1	2.258049116e-04	3.825561277e-04	2.978749598e-01	7.021250402e-01	0.995718659
4dcm	d1	6.666995829e-03	6.666887957e-03	8.755076077e-01	1.244923923e-01	0.617184990
1l6w	d1	2.865631627e-03	2.865306895e-03	8.785269662e-01	1.214730338e-01	0.862609425
1b9l	d1	3.074493835e+00	7.730024398e-02	3.214711614e-01	6.785288386e-01	0.373162219
1gz0	dom1_dom2	4.844701416e+00	6.978091496e-05	8.035607911e-01	1.964392089e-01	0.002627429
4kn7	d1	4.244855949e-10	8.588578326e-08	9.999996786e-01	3.214223886e-07	nan
1psu	d1	9.545843434e-05	1.137708922e-01	3.035025683e-01	6.964974317e-01	0.975975814
2gqr	d1	2.620393543e-04	9.644814768e-02	2.900349715e-02	9.709965028e-01	0.903009208
1mzg	d1	1.707394377e-02	1.707402021e-02	6.820320618e-01	3.179679382e-01	0.978930841
4fzw	d2	4.801485435e-05	3.138736248e-02	4.552086455e-02	9.544791354e-01	0.877572570
3qou	d3	6.677596307e-03	6.678484647e-03	8.744898346e-01	1.255101654e-01	0.570288485
